category,material_count,raw_material_cost,labour_hours_est,complexity_score,market_benchmark_price
handloom,2,1200,16.0,2.2,2850
handloom,1,600,8.0,1.4,1450
handloom,3,2400,28.0,2.8,5600
handloom,2,950,12.0,1.8,2200
handloom,1,450,6.0,1.2,1100
handloom,2,1600,20.0,2.4,3800
handloom,3,3200,36.0,3.0,7500
handloom,1,800,10.0,1.6,1900
handloom,2,1400,18.0,2.1,3300
handloom,2,1100,14.0,1.9,2600
handloom,1,500,7.0,1.3,1250
handloom,3,2800,32.0,2.9,6400
handloom,2,1750,22.0,2.5,4100
pottery,1,200,4.0,1.2,550
pottery,2,350,6.0,1.6,900
pottery,2,550,10.0,2.0,1450
pottery,3,850,16.0,2.5,2300
pottery,1,150,3.0,1.0,400
pottery,2,400,7.0,1.7,1050
pottery,3,1100,20.0,2.8,2950
pottery,1,280,5.0,1.4,750
pottery,2,650,12.0,2.2,1750
pottery,2,480,8.0,1.8,1250
pottery,1,220,4.5,1.3,600
pottery,3,950,18.0,2.6,2600
pottery,2,720,13.0,2.3,1950
woodcraft,1,400,6.0,1.3,1050
woodcraft,2,850,12.0,1.8,2100
woodcraft,2,1500,20.0,2.3,3700
woodcraft,3,2600,34.0,2.9,6500
woodcraft,1,600,8.0,1.5,1500
woodcraft,2,1200,16.0,2.0,3000
woodcraft,3,3500,45.0,3.0,8800
woodcraft,2,950,13.0,1.9,2400
woodcraft,1,320,5.0,1.2,850
woodcraft,2,1800,24.0,2.5,4500
woodcraft,3,2200,28.0,2.7,5500
woodcraft,1,750,10.0,1.6,1850
woodcraft,2,1350,18.0,2.2,3400
metalcraft,1,600,8.0,1.5,1550
metalcraft,2,1400,16.0,2.0,3350
metalcraft,2,2200,24.0,2.4,5200
metalcraft,3,3800,40.0,2.9,8900
metalcraft,1,850,10.0,1.7,2100
metalcraft,2,1750,20.0,2.2,4200
metalcraft,3,4500,48.0,3.0,10500
metalcraft,1,450,6.0,1.3,1150
metalcraft,2,1250,14.0,1.9,3000
metalcraft,2,1950,22.0,2.3,4700
metalcraft,1,950,11.0,1.8,2350
metalcraft,3,3100,32.0,2.7,7300
metalcraft,2,1600,18.0,2.1,3850
jewelry,2,800,10.0,1.8,2300
jewelry,3,1800,20.0,2.4,4900
jewelry,3,3200,32.0,2.8,8500
jewelry,4,5500,50.0,3.0,14200
jewelry,1,400,5.0,1.3,1150
jewelry,2,1200,14.0,2.0,3300
jewelry,3,2500,26.0,2.6,6700
jewelry,2,950,11.0,1.9,2700
jewelry,1,600,7.0,1.5,1700
jewelry,3,3800,38.0,2.9,10100
jewelry,2,1500,17.0,2.2,4100
jewelry,1,500,6.0,1.4,1400
jewelry,3,2900,30.0,2.7,7800
painting,1,300,8.0,1.5,1000
painting,2,700,16.0,2.1,2200
painting,2,1400,28.0,2.6,4200
painting,3,2500,45.0,3.0,7600
painting,1,450,10.0,1.7,1450
painting,2,950,20.0,2.3,2900
painting,3,3200,55.0,3.0,9700
painting,1,200,5.0,1.2,650
painting,2,600,14.0,1.9,1850
painting,2,1100,24.0,2.4,3400
painting,1,380,9.0,1.6,1200
painting,3,2100,38.0,2.8,6400
painting,2,800,18.0,2.2,2500
leather,1,450,6.0,1.4,1150
leather,2,950,12.0,1.8,2300
leather,2,1600,18.0,2.2,3800
leather,3,2800,30.0,2.7,6500
leather,1,600,8.0,1.5,1500
leather,2,1250,15.0,2.0,3000
leather,3,3600,38.0,2.9,8400
leather,1,350,5.0,1.2,900
leather,2,800,10.0,1.7,1950
leather,2,1450,17.0,2.1,3500
leather,1,520,7.0,1.4,1300
leather,3,2200,24.0,2.5,5200
leather,2,1100,14.0,1.9,2700
bamboo,1,150,4.0,1.2,450
bamboo,2,300,7.0,1.6,800
bamboo,2,550,12.0,2.0,1400
bamboo,3,900,18.0,2.5,2250
bamboo,1,220,5.0,1.4,600
bamboo,2,420,9.0,1.8,1100
bamboo,3,1300,24.0,2.8,3200
bamboo,1,180,4.5,1.3,500
bamboo,2,360,8.0,1.7,950
bamboo,2,680,14.0,2.2,1700
bamboo,1,260,6.0,1.5,700
bamboo,3,1050,20.0,2.6,2600
bamboo,2,500,10.0,1.9,1300
